query,table,split_MiB
query80,promotion,4096
query80,catalog_sales,4096
query80,catalog_returns,4096
query80,catalog_page,4096
query80,web_sales,4096
query80,web_returns,4096
query80,web_site,4096
query80,store_sales,3906
query80,date_dim,2572
query81,customer,4096
query81,catalog_returns,4096
query81,customer_address,1616
query81,date_dim,1430
query82,date_dim,4096
query82,store_sales,4096
query82,item,1270
query82,inventory,667
query83,date_dim,4096
query83,item,4096
query83,store_returns,4096
query83,catalog_returns,4096
query83,web_returns,4096
query84,customer_address,4096
query84,income_band,4096
query84,store_returns,4096
query84,customer,3071
query84,customer_demographics,366
query84,household_demographics,276
query85,web_page,4096
query85,customer_address,4096
query85,date_dim,4096
query85,reason,4096
query85,web_sales,4096
query85,web_returns,4096
query85,customer_demographics,177
query86,date_dim,4096
query86,web_sales,4096
query86,item,1526
query87,date_dim,4096
query87,catalog_sales,4096
query87,web_sales,4096
query87,store_sales,3399
query87,customer,2529
query88,store,4096
query88,store_sales,4096
query88,time_dim,2228
query88,household_demographics,722
query89,store,4096
query89,date_dim,4096
query89,store_sales,4096
query89,item,2704
query90,web_page,4096
query90,web_sales,4096
query90,time_dim,2228
query90,household_demographics,434
query91,call_center,4096
query91,date_dim,4096
query91,customer,4096
query91,catalog_returns,4096
query91,customer_address,3322
query91,household_demographics,722
query91,customer_demographics,299
query92,item,4096
query92,date_dim,4096
query92,web_sales,4096
query93,store_sales,4096
query93,store_returns,4096
query93,reason,4096
query94,web_sales,4096
query94,web_returns,4096
query94,web_site,4096
query94,date_dim,4096
query94,customer_address,4096
query95,web_sales,4096
query95,web_returns,4096
query95,web_site,4096
query95,date_dim,2572
query95,customer_address,354
query96,store,4096
query96,store_sales,4096
query96,time_dim,997
query96,household_demographics,434
query97,date_dim,4096
query97,store_sales,4096
query97,catalog_sales,4096
query98,date_dim,4096
query98,item,4096
query98,store_sales,4096
query99,warehouse,4096
query99,ship_mode,4096
query99,call_center,4096
query99,date_dim,4096
query99,catalog_sales,3780
