query,table,split_MiB
query65,date_dim,1286
query66,warehouse,6144
query66,ship_mode,6144
query66,catalog_sales,6144
query66,web_sales,2534
query66,date_dim,2139
query66,time_dim,669
query67,item,6001
query67,store_sales,4544
query67,store,4035
query67,date_dim,2139
query68,store,3242
query68,date_dim,2139
query68,customer_address,606
query68,customer,577
query68,household_demographics,361
query69,web_sales,6144
query69,catalog_sales,6144
query69,customer,4501
query69,store_sales,3397
query69,date_dim,1286
query69,customer_address,998
query69,customer_demographics,64
query70,store_sales,6144
query70,store,4752
query70,date_dim,2139
query71,web_sales,5108
query71,catalog_sales,4730
query71,store_sales,3400
query71,date_dim,2139
query71,item,716
query71,time_dim,669
query72,item,6144
query72,warehouse,6144
query72,catalog_returns,6144
query72,promotion,3993
query72,catalog_sales,3804
query72,date_dim,3176
query72,household_demographics,536
query72,inventory,333
query72,customer_demographics,149
query73,store,6144
query73,store_sales,3378
query73,date_dim,3176
query73,customer,2328
query73,household_demographics,217
query74,web_sales,4850
query74,date_dim,2139
query74,store_sales,1699
query74,customer,408
query75,web_returns,6144
query75,catalog_returns,5543
query75,store_returns,5094
query75,web_sales,4946
query75,catalog_sales,4728
query75,item,4052
query75,date_dim,2139
query75,store_sales,1510
query76,item,6144
query76,web_sales,4946
query76,catalog_sales,4728
query76,store_sales,3374
query76,date_dim,3176
query77,store,6144
query77,store_sales,6144
query77,web_sales,6144
query77,web_returns,6144
query77,catalog_sales,4709
query77,catalog_returns,4456
query77,store_returns,4093
query77,web_page,1690
query77,date_dim,1600
query78,web_returns,6144
query78,catalog_returns,5520
query78,catalog_sales,4743
query78,store_returns,3271
query78,web_sales,2819
query78,store_sales,1993
query78,date_dim,1286
query79,store,6144
query79,customer,6144
query79,store_sales,3400
query79,date_dim,1286
query79,household_demographics,281
query80,store,6144
query80,item,6144
query80,web_returns,6144
query80,web_site,6144
query80,catalog_returns,4443
query80,promotion,3993
query80,web_sales,3387
query80,catalog_sales,3163
query80,store_returns,3154
query80,catalog_page,2495
query80,store_sales,1953
query80,date_dim,1286
query81,catalog_returns,6144
query81,customer,4501
query81,customer_address,808
query81,date_dim,715
query82,store_sales,4451
query82,date_dim,3176
query82,item,635
query82,inventory,333
query83,store_returns,6144
query83,catalog_returns,6144
query83,web_returns,6144
query83,item,2306
query83,date_dim,1286
query84,income_band,6144
query84,store_returns,5088
query84,customer_address,2135
query84,customer,1535
query84,customer_demographics,183
query84,household_demographics,138
query85,web_returns,6144
query85,web_page,5020
query85,web_sales,4961
query85,date_dim,3176
query85,customer_address,2637
query85,reason,1673
query85,customer_demographics,88
query86,web_sales,2535
query86,date_dim,2139
query86,item,763
query87,web_sales,6144
query87,catalog_sales,4709
query87,date_dim,2139
query87,store_sales,1699
query87,customer,408
query88,store,5418
query88,store_sales,4658
query88,time_dim,1114
query88,household_demographics,361
query89,store_sales,6144
query89,store,3566
query89,date_dim,2139
query89,item,1352
query90,web_page,5020
query90,web_sales,2535
query90,time_dim,1114
query90,household_demographics,217
query91,call_center,6144
query91,customer,6144
query91,catalog_returns,6144
query91,date_dim,2139
query91,customer_address,1661
query91,household_demographics,361
query91,customer_demographics,149
query92,web_sales,6144
query92,date_dim,3176
query92,item,2858
query93,reason,6144
query93,store_returns,4338
query93,store_sales,3398
query94,web_sales,6144
query94,web_returns,6144
query94,web_site,6144
query94,customer_address,2637
query94,date_dim,2139
query95,web_sales,6144
query95,web_site,6144
query95,web_returns,3896
query95,date_dim,1286
query95,customer_address,177
query96,store_sales,6144
query96,store,4752
query96,time_dim,498
query96,household_demographics,361
query97,catalog_sales,6144
query97,store_sales,2687
query97,date_dim,2139
query98,store_sales,4543
query98,date_dim,3176
query98,item,697
query99,warehouse,6144
query99,ship_mode,6144
query99,call_center,6144
query99,date_dim,2139
query99,catalog_sales,1890
